"","police","BLM","partyID"
"860",100,0,5
"861",85,0,7
"862",100,50,5
"863",85,50,6
"864",60,80,1
"865",100,30,5
"866",85,0,5
"867",85,30,4
"868",50,40,2
"869",60,50,4
"870",40,85,3
"871",85,60,6
"872",30,50,1
"873",85,15,5
"874",60,60,2
"875",85,50,7
"876",100,50,3
"877",100,70,6
"878",-6,-6,7
"879",-6,-6,3
"880",65,50,3
"881",85,70,1
"882",85,50,1
"883",15,70,2
"884",85,0,7
"885",70,999,2
"886",85,30,6
"887",70,30,7
"888",70,40,7
"889",70,40,4
"890",85,70,1
"891",100,50,7
"892",70,30,5
"893",100,0,5
"894",100,0,5
"895",85,70,3
"896",100,0,5
"897",70,998,6
"898",60,85,1
"899",70,40,7
"900",85,999,1
"901",85,60,2
"902",8,2,3
"903",50,60,2
"904",70,85,3
"905",60,15,5
"906",85,0,6
"907",50,50,1
"908",85,85,4
"909",85,50,3
"910",50,50,3
"911",70,30,5
"912",60,100,1
"913",70,40,3
"914",85,40,1
"915",85,70,6
"916",70,70,2
"917",85,0,6
"918",70,85,1
"919",50,50,6
"920",100,0,5
"921",-6,-6,6
"922",100,50,2
"923",50,50,1
"924",100,0,7
"925",50,0,4
"926",85,60,4
"927",85,40,2
"928",70,30,6
"929",100,0,7
"930",100,100,2
"931",85,85,5
"932",50,50,1
"933",100,0,5
"934",70,60,1
"935",85,100,1
"936",70,100,2
"937",50,60,3
"938",85,85,3
"939",70,0,6
"940",70,30,3
"941",80,999,4
"942",100,999,7
"943",100,70,2
"944",50,0,4
"945",70,85,1
"946",-6,-6,4
"947",100,50,5
"948",70,70,6
"949",60,60,1
"950",85,50,1
"951",60,85,2
"952",60,50,1
"953",70,50,2
"954",-6,-6,6
"955",100,0,6
"956",100,85,6
"957",85,15,4
"958",60,75,2
"959",100,50,3
"960",100,50,1
"961",70,85,2
"962",85,0,7
"963",70,50,2
"964",85,40,7
"965",70,40,6
"966",85,85,6
"967",100,0,5
"968",60,100,2
"969",100,999,2
"970",30,50,4
"971",85,70,6
"972",100,0,5
"973",85,50,4
"974",60,85,1
"975",85,60,1
"976",50,50,4
"977",85,100,5
"978",70,85,3
"979",85,999,3
"980",100,85,-8
"981",50,50,4
"982",50,100,1
"983",-6,-6,4
"984",100,50,2
"985",85,85,3
"986",50,50,3
"987",85,100,5
"988",100,0,7
"989",70,6,7
"990",85,85,1
"991",85,15,2
"992",70,50,4
"993",70,50,-8
"994",85,85,3
"995",85,50,6
"996",85,0,7
"997",85,40,6
"998",-6,-6,5
"999",-6,-6,-8
"1000",100,85,4
"1001",50,70,3
"1002",85,70,3
"1003",100,85,1
"1004",100,0,6
"1005",70,0,7
"1006",70,60,4
"1007",70,60,1
"1008",85,50,4
"1009",70,30,7
"1010",90,100,5
"1011",70,85,1
"1012",85,85,1
"1013",70,15,2
"1014",-6,-6,7
"1015",70,50,5
"1016",85,30,2
"1017",85,100,1
"1018",-6,-6,7
"1019",70,30,5
"1020",100,40,6
"1021",85,70,5
"1022",60,0,7
"1023",70,0,7
"1024",30,85,1
"1025",100,0,4
"1026",85,85,2
"1027",100,70,3
"1028",70,60,3
"1029",85,70,2
"1030",30,100,2
"1031",100,50,4
"1032",99,40,6
"1033",0,100,3
"1034",85,30,5
"1035",70,100,1
"1036",40,100,3
"1037",70,70,5
"1038",100,0,7
"1039",100,100,3
"1040",100,15,7
"1041",70,50,6
"1042",75,30,5
"1043",100,85,6
"1044",85,100,1
"1045",50,40,6
"1046",50,40,4
"1047",60,40,1
"1048",85,70,3
"1049",85,50,3
"1050",60,100,1
"1051",85,40,3
"1052",0,100,3
"1053",40,85,7
"1054",-6,-6,2
"1055",100,70,3
"1056",100,100,-8
"1057",100,40,6
"1058",85,0,6
"1059",85,70,3
"1060",85,0,5
"1061",100,0,7
"1062",100,60,7
"1063",60,70,1
"1064",-6,-6,3
"1065",85,0,7
"1066",100,50,3
"1067",50,60,1
"1068",70,85,2
"1069",85,50,2
"1070",85,100,1
"1071",50,0,5
"1072",-6,-6,-8
"1073",50,40,3
"1074",70,70,1
"1075",100,60,6
"1076",-6,-6,3
"1077",-6,-6,7
"1078",85,50,2
"1079",-6,-6,5
"1080",998,998,-8
"1081",100,100,1
"1082",100,15,7
"1083",60,40,5
"1084",85,50,-8
"1085",70,50,3
"1086",85,70,3
"1087",-6,-6,2
"1088",100,0,7
"1089",70,60,6
"1090",-6,-6,4
"1091",85,70,6
"1092",-6,-6,7
"1093",100,0,7
"1094",60,70,4
"1095",40,85,2
"1096",65,50,2
"1097",100,15,7
"1098",85,60,4
"1099",40,50,4
"1100",85,100,1
"1101",60,60,6
"1102",85,0,7
"1103",100,0,6
"1104",70,15,5
"1105",70,15,5
"1106",85,70,2
"1107",85,30,2
"1108",85,50,5
"1109",100,0,7
"1110",85,40,7
"1111",-6,-6,7
"1112",100,100,2
"1113",80,85,1
"1114",70,50,7
"1115",15,100,3
"1116",100,0,5
"1117",50,70,2
"1118",-6,-6,1
"1119",60,40,7
"1120",-6,-6,4
"1121",85,50,3
"1122",85,85,6
"1123",100,30,4
"1124",85,30,7
"1125",-6,-6,4
"1126",60,60,3
"1127",60,70,3
"1128",70,70,3
"1129",100,30,6
"1130",50,50,4
"1131",85,60,1
"1132",100,85,1
"1133",100,0,5
"1134",85,40,5
"1135",70,0,4
"1136",50,50,2
"1137",30,100,1
"1138",100,30,5
"1139",-6,-6,5
"1140",70,70,1
"1141",85,30,7
"1142",85,85,1
"1143",100,50,7
"1144",90,50,6
"1145",40,70,2
"1146",100,40,4
"1147",80,60,4
"1148",70,60,1
"1149",80,90,1
"1150",60,60,4
"1151",100,85,1
"1152",50,30,2
"1153",30,70,4
"1154",-6,-6,1
"1155",100,0,4
"1156",85,30,5
"1157",100,50,5
"1158",85,85,3
"1159",85,85,3
"1160",75,70,1
"1161",25,80,1
"1162",70,85,-9
"1163",80,0,6
"1164",-6,-6,1
"1165",85,85,3
"1166",100,15,6
"1167",-6,-6,6
"1168",-6,-6,1
"1169",50,50,2
"1170",70,60,6
"1171",85,85,1
"1172",70,30,6
"1173",100,70,6
"1174",85,50,5
"1175",-6,-6,6
"1176",100,40,5
"1177",100,50,7
"1178",60,70,1
"1179",-6,-6,5
"1180",85,15,7
"1181",100,998,1
"1182",99,50,4
"1183",50,16,4
"1184",85,60,6
"1185",62,61,1
"1186",84,21,3
"1187",89,61,1
"1188",70,65,1
"1189",85,0,7
